2d,2h,pas
2d,2h,pas
2d,2s,3h,4h,pas
2d,2s,pas
2d,2h,2s,3s,pas
2d,3d,3s,pas
2d,2nt,3h,3s,4d,4nt,5c,5d,5nt,6s,pas
2d,4c,4h,4s,pas
2d,3h,3s,pas
2d,2nt,3c,3d,3h,3nt,pas
2d,2nt,3c,3d,3h,4s,pas
