1nt,2c,2h,3nt,pas
1nt,2c,2d,2h,pas
1nt,2c,2h,pas
1nt,2c,2h,pas
1nt,2c,2d,2s,pas
1nt,2c,2d,pas
1nt,2c,2h,4h,pas
1nt,2c,2d,3d,3h,3nt,4s,pas
1nt,2c,2d,pas
1nt,2c,2d,3s,3nt,pas
1nt,2c,2d,3s,4c,5c,pas
1nt,2c,2h,3d,3nt,pas
1nt,2c,2h,3c,3h,3nt,pas
1nt,2c,2h,3c,3d,3s,3nt,4c,5c,pas
1nt,2c,2h,3d,3h,4d,4h,4nt,5s,6d,pas
1nt,2c,2h,4nt,pas
1nt,2c,2h,2s,2nt,3d,3h,3s,4c,4nt,5d,5s,6c,6d,6h,pas
1nt,3h,3nt,pas
1nt,3h,4d,5d,pas
