2c,2s,pas
2c,2d,2h,3h,4h,pas
2c,2d,2nt,3nt,pas
2c,2nt,3c,pas
2c,2h,4h,pas
2c,2d,2nt,3d,3h,4h,pas
2c,3s,pas
2c,2d,3c,3h,4h,pas
2c,3nt,pas
