1h,1s,2h,pas
1h,1s,2c,2s,pas
1h,1s,3c,3s,4s,pas
1h,2c,2h,4h,pas
1h,2c,2h,2nt,3h,4c,4d,4nt,5c,6h,pas
1h,2s,4h,pas
1h,2d,2h,3c,3d,3s,3nt,pas
1h,1s,1nt,4s,pas
1h,1nt,2c,pas
1h,2d,2h,3s,4c,4d,4nt,5h,pas
